Kilometre,Marka,Model_Yili,Motor_Hacmi,Vites_Tipi,Yakit_Turu,Cekis_Tipi,Fiyat
46.028,15,2020,15.0,1,1,1,1035000.0
62.803,6,2020,13.0,2,0,1,922000.0
47.806,6,2022,12.0,0,1,1,705000.0
43.539,15,2020,15.0,1,1,1,1017000.0
68.105,7,2022,15.0,1,1,1,1200000.0
54.479,7,2022,15.0,1,1,1,1362000.0
73.631,6,2022,12.0,0,1,1,694000.0
98.943,12,2021,16.0,1,1,0,1854000.0
60.857,2,2021,16.0,1,0,0,1930000.0
49.803,21,2022,1.0,2,0,1,1067000.0
74.881,16,2021,15.0,1,1,1,1285000.0
246.0,7,2013,18.0,0,1,1,545000.0
42.75,14,2013,1.0,2,0,1,789000.0
55.621,7,2022,15.0,1,1,1,1389000.0
58.541,7,2022,15.0,1,1,1,1323000.0
51.567,10,2022,13.0,2,0,1,1058000.0
72.576,7,2022,15.0,1,1,1,1151000.0
45.563,22,2022,15.0,1,0,1,2158000.0
43.722,1,2022,15.0,2,0,1,2003000.0
76.874,6,2021,12.0,0,1,1,656000.0
47.594,16,2022,15.0,1,1,1,1216000.0
37.533,16,2022,15.0,1,1,1,1566000.0
135.972,14,2020,15.0,2,1,1,1069000.0
64.318,7,2022,15.0,1,1,1,1137000.0
71.544,6,2020,16.0,2,1,1,957000.0
52.36,17,2021,13.0,2,0,1,818000.0
44.631,16,2022,15.0,1,1,1,1144000.0
119.773,7,2020,15.0,1,1,1,993000.0
44.612,6,2022,12.0,0,1,1,721000.0
146.478,7,2018,15.0,2,1,1,751500.0
44.005,16,2022,15.0,1,1,1,1557000.0
46.259,1,2022,15.0,2,0,1,1999000.0
153.935,21,2017,2.0,0,1,1,930000.0
199.703,6,2019,13.0,0,1,1,524000.0
46.362,7,2022,15.0,0,1,1,725000.0
95.164,7,2020,15.0,1,1,1,961000.0
97.368,7,2020,15.0,0,1,1,656500.0
153.016,17,2019,15.0,2,1,1,753000.0
39.68,1,2022,15.0,2,0,1,2031000.0
88.637,7,2020,15.0,0,1,1,687500.0
66.167,15,2021,12.0,1,0,1,1141000.0
58.004,7,2022,15.0,1,1,1,1300000.0
58.882,15,2020,15.0,1,1,1,1054000.0
49.845,6,2022,12.0,0,1,1,728000.0
170.237,14,2020,15.0,2,1,1,1030000.0
46.475,4,2021,12.0,1,0,1,1167000.0
84.965,6,2022,12.0,0,1,1,693500.0
198.411,14,2020,15.0,2,1,1,998000.0
43.333,16,2022,15.0,1,1,1,1543000.0
48.055,7,2022,15.0,0,1,1,818000.0
103.804,17,2019,15.0,2,1,1,829000.0
129.77,7,2020,15.0,1,1,1,961000.0
82.914,2,2018,16.0,1,0,0,2144000.0
45.668,2,2022,16.0,1,0,0,2286000.0
74.884,2,2021,16.0,1,0,0,1932000.0
50.074,6,2022,12.0,0,1,1,702500.0
88.683,16,2019,15.0,1,1,1,1187000.0
61.988,7,2022,15.0,1,1,1,1379000.0
46.558,6,2022,12.0,0,1,1,706000.0
72.277,2,2018,15.0,1,1,1,1608000.0
46.517,7,2022,15.0,1,1,1,1388000.0
